x,y,label
2.185102202,13.68471246,1
22.17174644,2.589312649,6
-4.250977067,-3.129334389,9
13.9168215,-0.664454292,1
7.524766658,22.50281713,0
2.11583182,-7.270163473,7
-3.92653147,10.675402,8
23.5438869,18.34222443,0
4.210993464,4.526559573,7
21.39737094,-5.870265478,1
8.997430201,21.02750512,0
-12.78166523,-9.732645356,2
21.96941796,-7.659284923,1
4.217517284,0.403530633,7
-20.38445214,6.684273949,3
8.924011851,13.29680369,1
16.42938462,3.377965352,1
23.69568513,7.669722295,6
-19.89200878,0.969945282,3
16.2993398,-18.68461603,4
-6.91567977,-7.77810819,9
18.02972396,-7.511513627,7
12.72437062,14.54797898,0
7.791528217,-22.81558468,4
-7.54348062,15.00194224,8
22.93312548,19.28992158,0
-25.61722911,7.601319747,3
-0.317031042,-1.923600399,7
-21.08379422,16.82489284,5
-1.80448564,-10.9325544,9
12.63276943,-25.9313119,4
12.02208226,-0.979487215,1
-2.526131395,-25.79677721,9
-26.15626194,6.316667396,3
15.88502714,19.74540483,0
-6.33620657,15.82341712,8
5.218025218,2.656910998,7
3.244396901,-13.42342291,7
-6.1975869,16.43807237,8
-21.52620004,6.344315018,3
-20.5160353,-20.19826387,2
7.613394041,-1.324089395,7
6.634876456,-21.21387643,4
-2.871346227,-20.37880302,9
-19.40374932,-15.56858635,2
-19.78189528,-21.00661031,2
27.73793363,4.51207087,6
-17.73594713,-14.5158842,2
-14.00522804,27.44673695,5
3.531203514,-17.21426968,4
-5.388578608,-4.476179422,9
20.8205513,20.27357177,0
-23.33609297,-16.7268196,2
6.263831884,15.55971183,1
9.295033055,18.59648674,0
7.01065091,10.58654656,1
3.142756007,4.841654276,7
-14.73402605,22.47685663,5
15.57913827,-9.610768861,1
-21.12763523,8.01203026,3
0.197591989,7.492598852,7
-7.68980758,-3.662186213,9
29.5261203,-6.418271368,6
-9.43012143,28.51928897,5
-29.6922216,3.877733154,5
-17.07053915,0.309497456,3
-1.991555008,-17.36407146,9
-13.37436839,-4.917009987,2
-6.670322845,-1.609229374,9
25.68100291,8.279856257,6
5.856490647,-27.91638066,4
-6.135919539,-5.102182518,9
-4.103535561,21.57360971,8
-14.63027404,5.091090752,8
-21.26091693,6.54912526,3
18.48979226,-19.10805811,4
-20.37447054,-23.04283973,2
25.34347666,10.61945096,6
10.51669037,24.68618032,0
-33.36062184,-1.322636657,3
29.97798236,4.626227201,6
1.830517678,4.410097152,7
-21.50518177,-16.7167211,2
5.820408622,2.872776971,7
19.69589424,-8.640157448,1
-18.9959167,13.53379704,5
-11.27549225,2.832996228,8
-23.05808649,-2.381038205,3
-18.44327568,23.79022442,5
-14.3675348,27.80477642,5
6.096571951,15.83035458,1
19.32949647,23.16740126,0
-14.21774528,3.740299066,8
-1.04387724,4.924593442,7
3.562767368,-30.49382804,4
-14.77402957,-21.89100931,2
-6.652005895,14.93269708,8
13.9991226,19.24548914,0
-6.464987255,-28.03175844,9
-13.99747493,-9.955163115,2
9.761021512,12.82443033,1
0.816904192,3.522783679,7
19.72995995,-0.438786804,6
14.83863755,-25.16893711,4
-26.29548497,7.181447971,3
-2.407360405,-2.953875183,9
1.676890512,-3.470615522,7
20.21750546,14.99514734,0
7.249660927,5.418600587,7
25.85944566,7.113425022,6
3.162111101,16.92757598,1
18.90577218,4.482844325,6
-5.128134418,27.85872634,5
-2.322244884,4.811770791,7
6.268592859,24.01748264,0
-11.78871192,23.9424849,5
0.106986684,-12.8890689,9
15.73943581,-22.05688161,4
4.446295491,15.94956545,1
3.518597588,17.81777107,1
-3.797832701,19.58126491,8
-4.26575044,-4.738069938,9
-15.69077609,-22.62900607,4
-19.2834628,0.571352875,5
-19.98816184,-23.66104283,2
-13.66700527,12.77559005,3
22.74713629,8.809703692,6
